company;isin;index;drop;too_late;too_early;sector;supersektor;publication_date;fy_end;is_tax_in_ar;only_perc;elig_rev_abs;elig_capex_abs;elig_opex_abs;elig_rev_perc;elig_capex_perc;elig_opex_perc;alig_rev_abs;alig_capex_abs;alig_opex_abs;alig_rev_perc;alig_capex_perc;alig_opex_perc;rev_total;capex_total;opex_total;no_pages
Deutz;DE0006305006;SDAX;;;;Industrial;Industrials;14.03.2022;31.12.;yes;no;54;5;23;3,3;6,2;23;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1617;73;100;3
DIC Asset;DE000A1X3XX4;SDAX;x;;;Financial Services;FIRE;09.02.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Drägerwerk;DE0005550636;SDAX;;;;Pharma & Healthcare;Pharma & Healthcare;03.03.2022;31.12.;no;n.a.;0;ins;ins;0;ins;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3328;n.a.;n.a.;0,5
DWS Group;DE000DWS1007;SDAX;x;;;Financial Services;FIRE;11.03.2022;31.12.;yes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Eckert & Ziegler;DE0005659700;SDAX;;;;Pharma & Healthcare;Pharma & Healthcare;30.03.2022;31.12.;yes;yes;0;0;0;0;0,2;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;180;29;6;1,5
Encavis;DE0006095003;SDAX;x;;;Financial Services;FIRE;29.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Fielmann;DE0005772206;SDAX;;x;;Retail;Consumer Services;28.04.2022;31.12.;no;no;0;n.a.;0;0;2,8;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1678;n.a.;14;n.a.
flatexDEGIRO;DE000FTG1111;SDAX;x;;;Financial Services;FIRE;29.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
GFT Technologies;DE0005800601;SDAX;;;;Software;Information Technology;31.03.2022;31.12.;no;yes;0;0;ins;0;0;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;566;n.a.;n.a.;1,5
Grenke;DE000A161N30;SDAX;x;;;Financial Services;FIRE;17.03.2022;31.12.;yes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Hamborner REIT;DE000A3H2333;SDAX;x;;;Financial Services;FIRE;17.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Heidelberger Druckmaschinen;DE0007314007;SDAX;x;x;;Industrial;Industrials;09.06.2022;31.03.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Hella;DE000A13SX22;SDAX;x;x;;Automobile;Consumer Goods;18.08.2022;31.05.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Hochtief;DE0006070006;SDAX;;;;Construction;Industrials;23.02.2022;31.12.;yes;yes;19454;160;n.a.;91;80;82;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;21378;200;n.a.;1,5
Hornbach Holding;DE0006083405;SDAX;x;x;;Retail;Consumer Services;17.05.2022;28.02.;yes;no;24;76;7;0,4;21,3;7,9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5875;357;95;n.a.
Indus Holding;DE0006200108;SDAX;;;;Industrial;Industrials;23.03.2022;31.12.;yes;no;72;0;ins;4,2;0,5;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1742;76;n.a.;1,5
Instone Real Estate;DE000A2NBX80;SDAX;x;;;Financial Services;FIRE;17.03.2022;31.12.;yes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Jenoptik;DE000A2NB601;SDAX;;;;Industrial;Industrials;29.03.2022;31.12.;yes;yes;0;ins;1;0;ins;1;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;896;192;65;1
Jost Werke;DE000JST4000;SDAX;;;;Automobile;Consumer Goods;24.03.2022;31.12.;no;no;0;n.a.;n.a.;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1051;n.a.;n.a.;0,5
Klöckner & Co;DE000KC01000;SDAX;;;;Industrial;Industrials;09.03.2022;31.12.;yes;no;ins;5;ins;ins;4,3;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;7441;107;65934;3,5
Krones;DE0006335003;SDAX;;;;Industrial;Industrials;24.03.2022;31.12.;no;no;87;2;93;2,4;1,5;7,2;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3634;141;119;5
KWS Saat;DE0007074007;SDAX;x;x;;Industrial;Industrials;29.09.2022;30.06.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
LPKF Laser;DE0006450000;SDAX;x;;;Industrial;Industrials;23.03.2022;31.12.;no;no;12;1;2;13;1;12;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;94;9;16;n.a.
Metro;DE000BFB0019;SDAX;x;x;;Retail;Consumer Services;16.12.2022;30.09.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
